State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,sex_ratio,literact_rate
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,1090539,898810,191729,153995,23717,425624,381520,422303,89.0,62.18587102377712
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,881996,613061,268935,334372,4447,145997,465152,77963,90.0,57.216666599919094
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,1417811,1193439,224372,338384,11690,281758,692398,355518,91.0,47.44017505426439
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,1291644,1081569,210075,323641,10077,368153,673746,296104,89.0,58.34034027173084
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,618605,534939,83666,224192,2870,83006,371752,89638,89.0,52.24477315932441
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,401515,481294,251691,229603,96815,716,71612,209813,24269,98.0,46.26559028770015
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,1931559,1066601,704569,362032,386563,5149,140538,711085,41701,100.0,60.18928429757371
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,1204710,867393,337317,507882,5184,247856,705025,73393,94.0,57.72453215463306
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,737261,609693,127568,230238,3847,131112,396775,143217,91.0,44.68094488485623
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,2077108,1037344,911136,126208,273050,9699,404499,605082,284156,89.0,59.92149739988264
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,539469,383482,155987,241825,2031,79525,324972,27179,97.0,55.67621647369406
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,892214,783313,108901,275192,3889,115163,520289,134714,87.0,49.589594410581206
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,1422602,1171252,251350,473554,3874,102040,827583,111319,89.0,50.93080005495103
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,730399,463611,266788,371261,5149,95582,337048,91040,92.0,52.92224300008751
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,1242632,869838,372794,501634,5956,233701,839737,49891,98.0,58.9895439092343
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,1124744,851014,273730,332663,3476,99466,596317,121039,91.0,57.05838467594078
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,2403903,1220708,921234,299474,182146,19214,336056,438935,316129,91.0,65.37957447711229
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,298211,142460,155751,10274,1830,109876,260056,21082,114.0,70.11932415109253
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,123638,58708,64930,8985,435,47083,96031,3880,109.0,69.0590154599112
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,280556,180940,93832,87108,3845,899,71524,163434,22906,102.0,71.6425990475096
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,99566,60427,39139,4032,548,37725,85202,12839,98.0,68.44882302193739
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,345550,216490,113539,102951,5432,1344,95421,183687,26256,102.0,71.47747699296086
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,280442,140821,139621,8129,1366,117239,227059,27177,108.0,65.91914122898999
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,591458,444578,146880,165250,7883,254802,269406,145253,92.0,62.94121785284996
